1p.prs	1p.pst	3p.prs	3p.pst
sibilate	sibilated	sibilates	sibilated
connote	connoted	connotes	connoted
conquer	conquered	conquers	conquered
sicken	sickened	sickens	sickened
conscript	conscripted	conscripts	conscripted
consecrate	consecrated	consecrates	consecrated
side	sided	sides	sided
consent	consented	consents	consented
conserve	conserved	conserves	conserved
consider	considered	considers	considered
sideslip	sideslipped	sideslips	sideslipped
sidestep	sidestepped	sidesteps	sidestepped
sideswipe	sideswiped	sideswipes	sideswiped
consign	consigned	consigns	consigned
sidetrack	sidetracked	sidetracks	sidetracked
sidle	sidled	sidles	sidled
console	consoled	consoles	consoled
consolidate	consolidated	consolidates	consolidated
sieve	sieved	sieves	sieved
sift	sifted	sifts	sifted
sigh	sighed	sighs	sighed
sight	sighted	sights	sighted
sight-read	sight-read	sight-reads	sight-read
sightsee	sightsaw	sightsees	sightsaw
sign	signed	signs	signed
conspire	conspired	conspires	conspired
signal	signalled	signals	signalled
signalize	signalized	signalizes	signalized
constellate	constellated	constellates	constellated
consternate	consternated	consternates	consternated
constipate	constipated	constipates	constipated
constitute	constituted	constitutes	constituted
signify	signified	signifies	signified
constitutionalize	constitutionalized	constitutionalizes	constitutionalized
constrain	constrained	constrains	constrained
constrict	constricted	constricts	constricted
signpost	signposted	signposts	signposted
construct	constructed	constructs	constructed
silence	silenced	silences	silenced
construe	construed	construes	construed
consubstantiate	consubstantiated	consubstantiates	consubstantiated
silhouette	silhouetted	silhouettes	silhouetted
consult	consulted	consults	consulted
consume	consumed	consumes	consumed
consummate	consummated	consummates	consummated
contact	contacted	contacts	contacted
silver	silvered	silvers	silvered
contain	contained	contains	contained
containerize	containerized	containerizes	containerized
contaminate	contaminated	contaminates	contaminated
contemn	contemned	contemns	contemned
contemplate	contemplated	contemplates	contemplated
simmer	simmered	simmers	simmered
simper	simpered	simpers	simpered
contend	contended	contends	contended
content	contented	contents	contented
simplify	simplified	simplifies	simplified
simulate	simulated	simulates	simulated
contest	contested	contests	contested
sin	sinned	sins	sinned
sing	sang	sings	sang
singe	singed	singes	singed
continue	continued	continues	continued
contort	contorted	contorts	contorted
contour	contoured	contours	contoured
contract	contracted	contracts	contracted
singularize	singularized	singularizes	singularized
contradict	contradicted	contradicts	contradicted
contradistinguish	contradistinguished	contradistinguishes	contradistinguished
sink	sank	sinks	sank
contraindicate	contraindicated	contraindicates	contraindicated
sip	sipped	sips	sipped
contrast	contrasted	contrasts	contrasted
contravene	contravened	contravenes	contravened
siphon	siphoned	siphons	siphoned
contribute	contributed	contributes	contributed
sire	sired	sires	sired
contrive	contrived	contrives	contrived
control	controlled	controls	controlled
sit	sat	sits	sat
controvert	controverted	controverts	controverted
contuse	contused	contuses	contused
site	sited	sites	sited
convalesce	convalesced	convalesces	convalesced
convene	convened	convenes	convened
situate	situated	situates	situated
converge	converged	converges	converged
converse	conversed	converses	conversed
convert	converted	converts	converted
convey	conveyed	conveys	conveyed
size	sized	sizes	sized
sizzle	sizzled	sizzles	sizzled
convict	convicted	convicts	convicted
convince	convinced	convinces	convinced
skate	skated	skates	skated
skateboard	skateboarded	skateboards	skateboarded
convoke	convoked	convokes	convoked
convolute	convoluted	convolutes	convoluted
skedaddle	skedaddled	skedaddles	skedaddled
convolve	convolved	convolves	convolved
convoy	convoyed	convoys	convoyed
convulse	convulsed	convulses	convulsed
sketch	sketched	sketches	sketched
coo	cooed	coos	cooed
cook	cooked	cooks	cooked
skewer	skewered	skewers	skewered
ski	ski'd	skis	ski'd
cool	cooled	cools	cooled
skid	skidded	skids	skidded
skim	skimmed	skims	skimmed
cooperate	cooperated	cooperates	cooperated
skimp	skimped	skimps	skimped
skin	skinned	skins	skinned
co-opt	co-opted	co-opts	co-opted
skin-dive	skin-dived	skin-dives	skin-dived
co-ordinate	co-ordinated	co-ordinates	co-ordinated
cop	copped	cops	copped
skip	skipped	skips	skipped
cope	coped	copes	coped
skipper	skippered	skippers	skippered
skirmish	skirmished	skirmishes	skirmished
skirt	skirted	skirts	skirted
copper	coppered	coppers	coppered
skitter	skittered	skitters	skittered
skive	skived	skives	skived
skivvy	skivvied	skivvies	skivvied
skulk	skulked	skulks	skulked
copulate	copulated	copulates	copulated
skunk	skunked	skunks	skunked
copy	copied	copies	copied
sky	skied	skies	skied
copy-edit	copy-edited	copy-edits	copy-edited
skyjack	skyjacked	skyjacks	skyjacked
skylark	skylarked	skylarks	skylarked
copyright	copyrighted	copyrights	copyrighted
skyrocket	skyrocketed	skyrockets	skyrocketed
slack	slacked	slacks	slacked
slacken	slackened	slackens	slackened
cord	corded	cords	corded
slake	slaked	slakes	slaked
slam	slammed	slams	slammed
slander	slandered	slanders	slandered
core	cored	cores	cored
slang	slanged	slangs	slanged
slant	slanted	slants	slanted
cork	corked	corks	corked
slap	slapped	slaps	slapped
corn	corned	corns	corned
slash	slashed	slashes	slashed
slate	slated	slates	slated
corner	cornered	corners	cornered
slaughter	slaughtered	slaughters	slaughtered
slave	slaved	slaves	slaved
slaver	slavered	slavers	slavered
slay	slew	slays	slew
sled	sledded	sleds	sledded
sledge	sledged	sledges	sledged
sleek	sleeked	sleeks	sleeked
sleep	slept	sleeps	slept
corral	corralled	corrals	corralled
correct	corrected	corrects	corrected
correlate	correlated	correlates	correlated
correspond	corresponded	corresponds	corresponded
sleepwalk	sleepwalked	sleepwalks	sleepwalked
sleet	sleeted	sleets	sleeted
corroborate	corroborated	corroborates	corroborated
sleigh	sleighed	sleighs	sleighed
slenderize	slenderized	slenderizes	slenderized
corrode	corroded	corrodes	corroded
slew	slewed	slews	slewed
corrugate	corrugated	corrugates	corrugated
corrupt	corrupted	corrupts	corrupted
slice	sliced	slices	sliced
slide	slid	slides	slid
slight	slighted	slights	slighted
coruscate	coruscated	coruscates	coruscated
slim	slimmed	slims	slimmed
cosh	coshed	coshes	coshed
sling	slung	slings	slung
slink	slunk	slinks	slunk
slip	slipped	slips	slipped
cosset	cosseted	cossets	cosseted
cost	cost	costs	cost
co-star	co-starred	co-stars	co-starred
slit	slit	slits	slit
slither	slithered	slithers	slithered
sliver	slivered	slivers	slivered
slobber	slobbered	slobbers	slobbered
slog	slogged	slogs	slogged
slop	slopped	slops	slopped
slope	sloped	slopes	sloped
slosh	sloshed	sloshes	sloshed
slot	slotted	slots	slotted
slouch	slouched	slouches	slouched
couch	couched	couches	couched
slow	slowed	slows	slowed
cough	coughed	coughs	coughed
counsel	counselled	counsels	counselled
slug	slugged	slugs	slugged
count	counted	counts	counted
sluice	sluiced	sluices	sluiced
countenance	countenanced	countenances	countenanced
counter	countered	counters	countered
slum	slummed	slums	slummed
counteract	counteracted	counteracts	counteracted
slumber	slumbered	slumbers	slumbered
counterattack	counterattacked	counterattacks	counterattacked
slump	slumped	slumps	slumped
counterbalance	counterbalanced	counterbalances	counterbalanced
slur	slurred	slurs	slurred
slurp	slurped	slurps	slurped
counterfeit	counterfeited	counterfeits	counterfeited
countermand	countermanded	countermands	countermanded
countermarch	countermarched	countermarches	countermarched
smack	smacked	smacks	smacked
countermine	countermined	countermines	countermined
counterplot	counterplotted	counterplots	counterplotted
counterpoise	counterpoised	counterpoises	counterpoised
countersign	countersigned	countersigns	countersigned
countersink	countersank	countersinks	countersank
countervail	countervailed	countervails	countervailed
smart	smarted	smarts	smarted
smash	smashed	smashes	smashed
smear	smeared	smears	smeared
smell	smelled	smells	smelled
smelt	smelted	smelts	smelted
smile	smiled	smiles	smiled
couple	coupled	couples	coupled
smirch	smirched	smirches	smirched
smirk	smirked	smirks	smirked
smite	smote	smites	smote
course	coursed	courses	coursed
smoke	smoked	smokes	smoked
court	courted	courts	courted
court-martial	court-martialled	court-martials	court-martialled
smooch	smooched	smooches	smooched
smooth	smoothed	smooths	smoothed
covenant	covenanted	covenants	covenanted
cover	covered	covers	covered
smother	smothered	smothers	smothered
smoulder	smouldered	smoulders	smouldered
smudge	smudged	smudges	smudged
smuggle	smuggled	smuggles	smuggled
covet	coveted	covets	coveted
smut	smutted	smuts	smutted
cow	cowed	cows	cowed
snack	snacked	snacks	snacked
snaffle	snaffled	snaffles	snaffled
cower	cowered	cowers	cowered
snag	snagged	snags	snagged
snake	snaked	snakes	snaked
cowl	cowled	cowls	cowled
snap	snapped	snaps	snapped
cox	coxed	coxes	coxed
coxswain	coxswained	coxswains	coxswained
snare	snared	snares	snared
snarl	snarled	snarls	snarled
snatch	snatched	snatches	snatched
crab	crabbed	crabs	crabbed
sneak	sneaked	sneaks	sneaked
crack	cracked	cracks	cracked
sneer	sneered	sneers	sneered
sneeze	sneezed	sneezes	sneezed
snick	snicked	snicks	snicked
crackle	crackled	crackles	crackled
snicker	snickered	snickers	snickered
sniff	sniffed	sniffs	sniffed
cradle	cradled	cradles	cradled
sniffle	sniffled	sniffles	sniffled
craft	crafted	crafts	crafted
snigger	sniggered	sniggers	sniggered
snip	snipped	snips	snipped
snipe	sniped	snipes	sniped
cram	crammed	crams	crammed
snitch	snitched	snitches	snitched
cramp	cramped	cramps	cramped
snivel	snivelled	snivels	snivelled
crane	craned	cranes	craned
snog	snogged	snogs	snogged
crank	cranked	cranks	cranked
snooker	snookered	snookers	snookered
snoop	snooped	snoops	snooped
crap	crapped	craps	crapped
snooze	snoozed	snoozes	snoozed
snore	snored	snores	snored
crash	crashed	crashes	crashed
snort	snorted	snorts	snorted
crash-dive	crash-dived	crash-dives	crash-dived
crash-land	crash-landed	crash-lands	crash-landed
snow	snowed	snows	snowed
snowball	snowballed	snowballs	snowballed
crate	crated	crates	crated
crave	craved	craves	craved
crawl	crawled	crawls	crawled
crayon	crayoned	crayons	crayoned
craze	crazed	crazes	crazed
creak	creaked	creaks	creaked
snub	snubbed	snubs	snubbed
snuff	snuffed	snuffs	snuffed
cream	creamed	creams	creamed
snuffle	snuffled	snuffles	snuffled
snug	snugged	snugs	snugged
snuggle	snuggled	snuggles	snuggled
crease	creased	creases	creased
create	created	creates	created
soak	soaked	soaks	soaked
soap	soaped	soaps	soaped
credit	credited	credits	credited
soar	soared	soars	soared
sob	sobbed	sobs	sobbed
sober	sobered	sobers	sobered
creep	crept	creeps	crept
socialize	socialized	socializes	socialized
cremate	cremated	cremates	cremated
crenellate	crenellated	crenellates	crenellated
creosote	creosoted	creosotes	creosoted
sock	socked	socks	socked
crepitate	crepitated	crepitates	crepitated
crest	crested	crests	crested
crew	crewed	crews	crewed
soften	softened	softens	softened
crib	cribbed	cribs	cribbed
crick	cricked	cricks	cricked
softland	softlanded	softlands	softlanded
soft-pedal	soft-pedalled	soft-pedals	soft-pedalled
crime	crimed	crimes	crimed
soft-soap	soft-soaped	soft-soaps	soft-soaped
crimp	crimped	crimps	crimped
crimson	crimsoned	crimsons	crimsoned
cringe	cringed	cringes	cringed
crinkle	crinkled	crinkles	crinkled
soil	soiled	soils	soiled
cripple	crippled	cripples	crippled
sojourn	sojourned	sojourns	sojourned
crisp	crisped	crisps	crisped
solace	solaced	solaces	solaced
crisscross	crisscrossed	crisscrosses	crisscrossed
solder	soldered	solders	soldered
soldier	soldiered	soldiers	soldiered
criticize	criticized	criticizes	criticized
croak	croaked	croaks	croaked
sole	soled	soles	soled
crochet	crocheted	crochets	crocheted
crock	crocked	crocks	crocked
solemnize	solemnized	solemnizes	solemnized
solicit	solicited	solicits	solicited
crook	crooked	crooks	crooked
croon	crooned	croons	crooned
solidify	solidified	solidifies	solidified
crop	cropped	crops	cropped
soliloquize	soliloquized	soliloquizes	soliloquized
cross	crossed	crosses	crossed
solo	soloed	solos	soloed
solve	solved	solves	solved
crossbreed	crossbred	crossbreeds	crossbred
crosscheck	crosschecked	crosschecks	crosschecked
cross-examine	cross-examined	cross-examines	cross-examined
cross-fertilize	cross-fertilized	cross-fertilizes	cross-fertilized
cross-index	cross-indexed	cross-indexes	cross-indexed
somersault	somersaulted	somersaults	somersaulted
somnambulate	somnambulated	somnambulates	somnambulated
cross-pollinate	cross-pollinated	cross-pollinates	cross-pollinated
cross-question	cross-questioned	cross-questions	cross-questioned
cross-refer	cross-referred	cross-refers	cross-referred
crouch	crouched	crouches	crouched
soot	sooted	soots	sooted
soothe	soothed	soothes	soothed
crow	crowed	crows	crowed
sop	sopped	sops	sopped
crowd	crowded	crowds	crowded
sophisticate	sophisticated	sophisticates	sophisticated
crown	crowned	crowns	crowned
crucify	crucified	crucifies	crucified
sorrow	sorrowed	sorrows	sorrowed
cruise	cruised	cruises	cruised
sort	sorted	sorts	sorted
crumble	crumbled	crumbles	crumbled
crumple	crumpled	crumples	crumpled
crunch	crunched	crunches	crunched
crusade	crusaded	crusades	crusaded
crush	crushed	crushes	crushed
sough	soughed	soughs	soughed
cry	cried	cries	cried
sound	sounded	sounds	sounded
crystallize	crystallized	crystallizes	crystallized
soundproof	soundproofed	soundproofs	soundproofed
cube	cubed	cubes	cubed
sour	soured	sours	soured
cuckold	cuckolded	cuckolds	cuckolded
souse	soused	souses	soused
cuddle	cuddled	cuddles	cuddled
cudgel	cudgelled	cudgels	cudgelled
cuff	cuffed	cuffs	cuffed
cull	culled	culls	culled
cultivate	cultivated	cultivates	cultivated
cumber	cumbered	cumbers	cumbered
sovietize	sovietized	sovietizes	sovietized
sow	sowed	sows	sowed
space	spaced	spaces	spaced
cup	cupped	cups	cupped
spade	spaded	spades	spaded
span	spanned	spans	spanned
spangle	spangled	spangles	spangled
curb	curbed	curbs	curbed
spank	spanked	spanks	spanked
curdle	curdled	curdles	curdled
cure	cured	cures	cured
curette	curetted	curettes	curetted
