Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
n.ɪ.k	n.ɪ.k.t	35	nick	nicked	reg
aʊ.t.l.ɪ.v	aʊ.t.l.ɪ.v.d	35	outlive	outlived	reg
p.ʌ.t.ɪ.ʃ.ʌ.n	p.ʌ.t.ɪ.ʃ.ʌ.n.d	35	petition	petitioned	reg
p.l.eɪ.t	p.l.eɪ.t.ʌ.d	35	plait	plaited	reg
p.ɑ.p.j.ʌ.l.ɚ.aɪ.z	p.ɑ.p.j.ʌ.l.ɚ.aɪ.z.d	35	popularize	popularized	reg
p.ɑ.z.ʌ.t	p.ɑ.z.ʌ.t.ʌ.d	35	posit	posited	reg
ɹ.ɪ.dʒ.u.v.ʌ.n.eɪ.t	ɹ.ɪ.dʒ.u.v.ʌ.n.eɪ.t.ɪ.d	35	rejuvenate	rejuvenated	reg
ɹ.ɑ.k.ʌ.t	ɹ.ɑ.k.ʌ.t.ɪ.d	35	rocket	rocketed	reg
ɹ.ʌ.p.tʃ.ɚ	ɹ.ʌ.p.tʃ.ɚ.d	35	rupture	ruptured	reg
s.p.aɪ.k	s.p.aɪ.k.t	35	spike	spiked	reg
s.t.i.p	s.t.i.p.t	35	steep	steeped	reg
s.t.ɹ.æ.g.ʌ.l	s.t.ɹ.æ.g.ʌ.l.d	35	straggle	straggled	reg
s.w.ɪ.ʃ	s.w.ɪ.ʃ.t	35	swish	swished	reg
w.ɚ.d	w.ɚ.d.ɪ.d	35	word	worded	reg
ʌ.k.ɔ.s.t	ʌ.k.ɑ.s.t.ʌ.d	34	accost	accosted	reg
æ.k.w.i.ɛ.s	æ.k.w.i.ɛ.s.t	34	acquiesce	acquiesced	reg
æ.m.p.j.ʌ.t.eɪ.t	æ.m.p.j.ʌ.t.eɪ.t.ɪ.d	34	amputate	amputated	reg
b.ɔ.k	b.ɔ.k.t	34	balk	balked	reg
tʃ.aɪ.d	tʃ.aɪ.d.ɪ.d	34	chide	chided	reg
k.ɹ.æ.ŋ.k	k.ɹ.æ.ŋ.k.t	34	crank	cranked	reg
d.ɛ.n.t	d.ɛ.n.t.ɪ.d	34	dent	dented	reg
ɛ.k.s.t.ɹ.ʌ.k.eɪ.t	ɛ.k.s.t.ɹ.ʌ.k.eɪ.t.ɪ.d	34	extricate	extricated	reg
h.æ.l.oʊ	h.æ.l.oʊ.d	34	hallow	hallowed	reg
aɪ.d.ʌ.l	aɪ.d.ʌ.l.d	34	idle	idled	reg
ɪ.m.oʊ.b.ʌ.l.aɪ.z	ɪ.m.oʊ.b.ʌ.l.aɪ.z.d	34	immobilize	immobilized	reg
l.æ.tʃ	l.æ.tʃ.t	34	latch	latched	reg
m.æ.ŋ.g.ʌ.l	m.æ.ŋ.g.ʌ.l.d	34	mangle	mangled	reg
m.ɪ.s.ɪ.n.t.ɚ.p.ɹ.ʌ.t	m.ɪ.s.ɪ.n.t.ɚ.p.ɹ.ʌ.t.ɪ.d	34	misinterpret	misinterpreted	reg
oʊ.v.ɚ.h.ɔ.l	oʊ.v.ɚ.h.ɔ.l.d	34	overhaul	overhauled	reg
p.ɚ.f.j.u.m	p.ɚ.f.j.u.m.d	34	perfume	perfumed	reg
p.ɚ.p.l.ɛ.k.s	p.ɚ.p.l.ɛ.k.s.t	34	perplex	perplexed	reg
p.ɹ.i.n	p.ɹ.i.n.d	34	preen	preened	reg
ɹ.ɪ.s.ɪ.p.ɹ.ʌ.k.eɪ.t	ɹ.ɪ.s.ɪ.p.ɹ.ʌ.k.eɪ.t.ɪ.d	34	reciprocate	reciprocated	reg
ɹ.i.h.ʌ.b.ɪ.l.ʌ.t.eɪ.t	ɹ.i.h.ʌ.b.ɪ.l.ʌ.t.eɪ.t.ɪ.d	34	rehabilitate	rehabilitated	reg
ɹ.u.s.t	ɹ.u.s.t.ɪ.d	34	roost	roosted	reg
ɹ.oʊ.p	ɹ.oʊ.p.t	34	rope	roped	reg
ʃ.aɪ	ʃ.aɪ.d	34	shy	shied	reg
s.l.ɚ	s.l.ɚ.d	34	slur	slurred	reg
s.m.ʌ.dʒ	s.m.ʌ.dʒ.d	34	smudge	smudged	reg
θ.i.ɚ.aɪ.z	θ.i.ɚ.aɪ.z.d	34	theorize	theorized	reg
ʌ.p.l.ɪ.f.t	ʌ.p.l.ɪ.f.t.ɪ.d	34	uplift	uplifted	reg
z.u.m	z.u.m.d	34	zoom	zoomed	reg
ʌ.b.ɛ.t	ʌ.b.ɛ.t.ɪ.d	33	abet	abetted	reg
ʌ.dʒ.ɚ.n	ʌ.dʒ.ɚ.n.d	33	adjourn	adjourned	reg
ʌ.p.ɹ.eɪ.z	ʌ.p.ɹ.eɪ.z.d	33	appraise	appraised	reg
b.l.æ.ŋ.k.ʌ.t	b.l.æ.ŋ.k.ʌ.t.ɪ.d	33	blanket	blanketed	reg
b.l.aɪ.t	b.l.aɪ.t.ɪ.d	33	blight	blighted	reg
d.ɛ.k	d.ɛ.k.t	33	deck	decked	reg
d.ɪ.v.æ.l.j.u	d.ɪ.v.æ.l.j.u.d	33	devalue	devalued	reg
d.i.v.i.eɪ.t	d.i.v.i.eɪ.t.ɪ.d	33	deviate	deviated	reg
d.ɪ.s.ɪ.n.g.eɪ.dʒ	d.ɪ.s.ɪ.n.g.eɪ.dʒ.d	33	disengage	disengaged	reg
d.ɑ.n	d.ɑ.n.d	33	don	donned	reg
ɛ.s.tʃ.u	ɛ.ʃ.u.d	33	eschew	eschewed	reg
h.ɛ.m	h.ɛ.m.d	33	hem	hemmed	reg
aʊ.t.d.u	aʊ.t.d.ɪ.d	33	outdo	outdid	irreg
p.æ.s.ʌ.f.aɪ	p.æ.s.ʌ.f.aɪ.d	33	pacify	pacified	reg
p.ɛ.ɹ	p.ɛ.ɹ.d	33	pare	pared	reg
p.eɪ.s.t	p.eɪ.s.t.ɪ.d	33	paste	pasted	reg
ɹ.æ.m.b.ʌ.l	ɹ.æ.m.b.ʌ.l.d	33	ramble	rambled	reg
ɹ.i.d.ɚ.ɛ.k.t	ɹ.i.d.ɚ.ɛ.k.t.ɪ.d	33	redirect	redirected	reg
ɹ.i.f.ɚ.b.ɪ.ʃ	ɹ.i.f.ɚ.b.ɪ.ʃ.t	33	refurbish	refurbished	reg
ɹ.ɛ.p.ɹ.ʌ.m.æ.n.d	ɹ.ɛ.p.ɹ.ʌ.m.æ.n.d.ɪ.d	33	reprimand	reprimanded	reg
ɹ.i.t.ɹ.eɪ.s	ɹ.i.t.ɹ.eɪ.s.t	33	retrace	retraced	reg
s.ɪ.ɹ	s.ɪ.ɹ.d	33	sear	seared	reg
θ.ɹ.ɑ.t.ʌ.l	θ.ɹ.ɑ.t.ʌ.l.d	33	throttle	throttled	reg
t.ɹ.ɛ.k	t.ɹ.ɛ.k.t	33	trek	trekked	reg
w.ɛ.s.t.ɚ.n.aɪ.z	w.ɛ.s.t.ɚ.n.aɪ.z.d	33	westernize	westernized	reg
ʌ.t.ɛ.s.t	ʌ.t.ɛ.s.t.ɪ.d	32	attest	attested	reg
k.ʌ.p.ɪ.tʃ.u.l.eɪ.t	k.ʌ.p.ɪ.tʃ.ʌ.l.eɪ.t.ɪ.d	32	capitulate	capitulated	reg
s.ɚ.t.ʌ.f.aɪ	s.ɚ.t.ʌ.f.aɪ.d	32	certify	certified	reg
k.oʊ.ʌ.l.ɛ.s	k.oʊ.ʌ.l.ɛ.s.t	32	coalesce	coalesced	reg
d.ɪ.m.i.n	d.ɪ.m.i.n.d	32	demean	demeaned	reg
d.ɪ.s.ɪ.l.u.ʒ.ʌ.n	d.ɪ.s.ɪ.l.u.ʒ.ʌ.n.d	32	disillusion	disillusioned	reg
ɛ.n.t.w.aɪ.n	ɛ.n.t.w.aɪ.n.d	32	entwine	entwined	reg
ɛ.k.s.t.ɹ.ʌ.d.aɪ.t	ɛ.k.s.t.ɹ.ʌ.d.aɪ.t.ɪ.d	32	extradite	extradited	reg
f.æ.s.t	f.æ.s.t.ɪ.d	32	fast	fasted	reg
ɪ.n.k.ʌ.p.æ.s.ɪ.t.eɪ.t	ɪ.n.k.ʌ.p.æ.s.ɪ.t.eɪ.t.ɪ.d	32	incapacitate	incapacitated	reg
ɪ.n.s.ɪ.n.j.u.eɪ.t	ɪ.n.s.ɪ.n.j.u.eɪ.t.ɪ.d	32	insinuate	insinuated	reg
ɪ.n.t.ʌ.m.ʌ.t	ɪ.n.t.ɪ.m.eɪ.t.ɪ.d	32	intimate	intimated	reg
ɪ.n.v.ɪ.g.ɚ.ɪ.t	ɪ.n.v.ɪ.g.ɚ.eɪ.t.ɪ.d	32	invigorate	invigorated	reg
m.j.u.t	m.j.u.t.ɪ.d	32	mute	muted	reg
n.u.t.ɚ	n.u.t.ɚ.d	32	neuter	neutered	reg
p.æ.s.tʃ.ɚ.aɪ.z	p.æ.s.tʃ.ɚ.aɪ.z.d	32	pasteurize	pasteurized	reg
ɹ.i.d.ʌ.b.ʌ.l	ɹ.i.d.ʌ.b.ʌ.l.d	32	redouble	redoubled	reg
ɹ.i.g.ɹ.u.p	ɹ.i.g.ɹ.u.p.t	32	regroup	regrouped	reg
ɹ.i.θ.ɪ.ŋ.k	ɹ.i.θ.ɔ.t	32	rethink	rethought	irreg
s.p.l.æ.t.ɚ	s.p.l.æ.t.ɚ.d	32	splatter	splattered	reg
s.p.aʊ.t	s.p.aʊ.t.ʌ.d	32	spout	spouted	reg
t.u.t.ɚ	t.u.t.ɚ.d	32	tutor	tutored	reg
v.ɛ.k.s	v.ɛ.k.s.t	32	vex	vexed	reg
v.ɪ.k.t.ʌ.m.aɪ.z	v.ɪ.k.t.ʌ.m.aɪ.z.d	32	victimize	victimized	reg
æ.n.ɛ.k.s	æ.n.ɛ.k.s.t	31	annex	annexed	reg
b.ɑ.ɹ.dʒ	b.ɑ.ɹ.dʒ.d	31	barge	barged	reg
b.ɪ.k.w.i.θ	b.ʌ.k.w.i.θ.t	31	bequeath	bequeathed	reg
b.ɹ.eɪ.v	b.ɹ.eɪ.v.d	31	brave	braved	reg
b.ʌ.dʒ.ɪ.t	b.ʌ.dʒ.ɪ.t.ʌ.d	31	budget	budgeted	reg
tʃ.æ.m.p.i.ʌ.n	tʃ.æ.m.p.i.ʌ.n.d	31	champion	championed	reg
tʃ.ɑ.ɹ.t	tʃ.ɑ.ɹ.t.ʌ.d	31	chart	charted	reg
k.l.ɑ.b.ɚ	k.l.ɑ.b.ɚ.d	31	clobber	clobbered	reg
k.j.u.b	k.j.u.b.d	31	cube	cubed	reg
d.ɪ.k.ɹ.aɪ	d.ɪ.k.ɹ.aɪ.d	31	decry	decried	reg
ɛ.n.k.æ.p.s.ʌ.l.eɪ.t	ɛ.n.k.æ.p.s.ʌ.l.eɪ.t.ɪ.d	31	encapsulate	encapsulated	reg
f.aʊ.n.d.ɚ	f.aʊ.n.d.ɚ.d	31	founder	foundered	reg
l.ɪ.n.tʃ	l.ɪ.n.tʃ.t	31	lynch	lynched	reg
m.ɪ.s.ɹ.ɛ.p.ɹ.ʌ.z.ɛ.n.t	m.ɪ.s.ɹ.ɛ.p.ɹ.ɪ.z.ɛ.n.t.ɪ.d	31	misrepresent	misrepresented	reg
m.ɔ.dʒ.j.u.l.eɪ.t	m.ɔ.dʒ.j.u.l.eɪ.t.ɪ.d	31	modulate	modulated	reg
n.i.d.ʌ.l	n.i.d.ʌ.l.d	31	needle	needled	reg
p.l.ɑ.p	p.l.ɑ.p.t	31	plop	plopped	reg
p.ɹ.ɛ.dʒ.ʌ.d.ɪ.s	p.ɹ.ɛ.dʒ.ʌ.d.ʌ.s.t	31	prejudice	prejudiced	reg
ɹ.æ.d.ɪ.k.ʌ.l.aɪ.z	ɹ.æ.d.ɪ.k.ʌ.l.aɪ.z.d	31	radicalize	radicalized	reg
s.æ.p	s.æ.p.t	31	sap	sapped	reg
s.ɪ.l.ʌ.w.ɛ.t	s.ɪ.l.ʌ.w.ɛ.t.ɪ.d	31	silhouette	silhouetted	reg
s.ʌ.b.d.ʌ.v.aɪ.d	s.ʌ.b.d.ɪ.v.aɪ.d.ɪ.d	31	subdivide	subdivided	reg
t.ɹ.ɪ.p.ʌ.l	t.ɹ.ɪ.p.ʌ.l.d	31	triple	tripled	reg
ʌ.n.d.ɚ.p.ɪ.n	ʌ.n.d.ɚ.p.ɪ.n.d	31	underpin	underpinned	reg
æ.g.ʌ.n.aɪ.z	æ.g.ʌ.n.aɪ.z.d	30	agonize	agonized	reg
b.ɹ.æ.g	b.ɹ.æ.g.d	30	brag	bragged	reg
b.ʌ.t.ɹ.ʌ.s	b.ʌ.t.ɹ.ʌ.s.t	30	buttress	buttressed	reg
k.oʊ.ɚ.s	k.oʊ.ɚ.s.t	30	coerce	coerced	reg
k.ʌ.n.dʒ.i.l	k.ʌ.n.dʒ.i.l.d	30	congeal	congealed	reg
k.ɚ.oʊ.d	k.ɚ.oʊ.d.ɪ.d	30	corrode	corroded	reg
k.aʊ.n.t.ʌ.n.ʌ.n.s	k.aʊ.n.t.ʌ.n.ʌ.n.s.t	30	countenance	countenanced	reg
d.i.f.ɔ.ɹ.m	d.ɪ.f.ɔ.ɹ.m.d	30	deform	deformed	reg
d.ɪ.ʃ	d.ɪ.ʃ.t	30	dish	dished	reg
d.ɪ.s.ɔ.ɹ.d.ɚ	d.ɪ.s.ɔ.ɹ.d.ɚ.d	30	disorder	disordered	reg
d.ɪ.s.oʊ.n	d.ɪ.s.oʊ.n.d	30	disown	disowned	reg
d.ɑ.k	d.ɑ.k.t	30	dock	docked	reg
ɪ.m.p.eɪ.l	ɪ.m.p.eɪ.l.d	30	impale	impaled	reg
ɪ.n.ɔ.g.j.ʌ.ɹ.eɪ.t	ɪ.n.ɔ.g.j.ɚ.eɪ.t.ɪ.d	30	inaugurate	inaugurated	reg
ɪ.n.f.j.u.z	ɪ.n.f.j.u.z.d	30	infuse	infused	reg
m.æ.s.ʌ.k.ɚ	m.æ.s.ʌ.k.ɚ.d	30	massacre	massacred	reg
m.ɪ.s.dʒ.ʌ.dʒ	m.ɪ.s.dʒ.ʌ.dʒ.d	30	misjudge	misjudged	reg
m.oʊ.t.ɚ.aɪ.z	m.oʊ.t.ɚ.aɪ.z.d	30	motorize	motorized	reg
n.æ.tʃ.ɚ.ʌ.l.aɪ.z	n.æ.tʃ.ɚ.ʌ.l.aɪ.z.d	30	naturalize	naturalized	reg
ɹ.ɪ.m.æ.n.d	ɹ.ɪ.m.æ.n.d.ɪ.d	30	remand	remanded	reg
ɹ.ɛ.m.ʌ.n.ɪ.s	ɹ.ɛ.m.ʌ.n.ɪ.s.t	30	reminisce	reminisced	reg
ɹ.ɛ.n.ʌ.v.eɪ.t	ɹ.ɛ.n.ʌ.v.eɪ.t.ɪ.d	30	renovate	renovated	reg
ɹ.i.p.eɪ.n.t	ɹ.i.p.eɪ.n.t.ʌ.d	30	repaint	repainted	reg
s.m.ɑ.ɹ.t	s.m.ɑ.ɹ.t.ʌ.d	30	smart	smarted	reg
s.p.ɚ.t	s.p.ɚ.t.ɪ.d	30	spurt	spurted	reg
t.u.l	t.u.l.d	30	tool	tooled	reg
ʌ.n.d.ɚ.ɹ.eɪ.t	ʌ.n.d.ɚ.ɹ.eɪ.t.ɪ.d	30	underrate	underrated	reg
ʌ.n.w.aɪ.n.d	ʌ.n.w.aʊ.n.d	30	unwind	unwound	irreg
v.æ.ŋ.k.w.ɪ.ʃ	v.æ.ŋ.k.w.ɪ.ʃ.t	30	vanquish	vanquished	reg
w.æ.k	w.æ.k.t	30	whack	whacked	reg
b.ɪ.ɹ.eɪ.t	b.ɪ.ɹ.eɪ.t.ɪ.d	29	berate	berated	reg
k.æ.s.k.eɪ.d	k.æ.s.k.eɪ.d.ɪ.d	29	cascade	cascaded	reg
s.ɚ.k.ʌ.m.s.aɪ.z	s.ɚ.k.ʌ.m.s.aɪ.z.d	29	circumcise	circumcised	reg
k.aʊ	k.aʊ.d	29	cow	cowed	reg
d.æ.l.i	d.æ.l.i.d	29	dally	dallied	reg
d.ɪ.h.j.u.m.ʌ.n.aɪ.z	d.ɪ.h.j.u.m.ʌ.n.aɪ.z.d	29	dehumanize	dehumanized	reg
d.ɪ.m.ɚ	d.ɪ.m.ɚ.d	29	demur	demurred	reg
f.ɔ.ɹ.w.ɚ.d	f.ɔ.ɹ.w.ɚ.d.ɪ.d	29	forward	forwarded	reg
h.ɚ.æ.ŋ	h.ɚ.æ.ŋ.d	29	harangue	harangued	reg
h.i.l	h.i.l.d	29	heel	heeled	reg
n.ʌ.l.ʌ.f.aɪ	n.ʌ.l.ʌ.f.aɪ.d	29	nullify	nullified	reg
p.ɛ.p.ɚ	p.ɛ.p.ɚ.d	29	pepper	peppered	reg
p.ɹ.i.d.ɪ.t.ɚ.m.ʌ.n	p.ɹ.i.d.i.t.ɚ.m.ɪ.n.d	29	predetermine	predetermined	reg
p.ɹ.ʌ.p.aʊ.n.d	p.ɹ.ʌ.p.aʊ.n.d.ʌ.d	29	propound	propounded	reg
ɹ.i.k.ɑ.n.s.t.ʌ.t.u.t	ɹ.i.k.ɑ.n.s.t.ʌ.t.u.t.ɪ.d	29	reconstitute	reconstituted	reg
ɹ.i.s.t.eɪ.t	ɹ.i.s.t.eɪ.t.ɪ.d	29	restate	restated	reg
s.k.ʌ.f.ʌ.l	s.k.ʌ.f.ʌ.l.d	29	scuffle	scuffled	reg
s.n.ʌ.b	s.n.ʌ.b.d	29	snub	snubbed	reg
s.t.æ.g.n.eɪ.t	s.t.æ.g.n.eɪ.t.ɪ.d	29	stagnate	stagnated	reg
v.ɪ.n.d.ʌ.k.eɪ.t	v.ɪ.n.d.ʌ.k.eɪ.t.ɪ.d	29	vindicate	vindicated	reg
b.ɹ.i.tʃ	b.ɹ.i.tʃ.t	28	breach	breached	reg
k.ɛ.ɹ.ɪ.k.ʌ.tʃ.ɚ	k.ɛ.ɹ.ɪ.k.ʌ.tʃ.ɚ.d	28	caricature	caricatured	reg
d.ɛ.l.v	d.ɛ.l.v.d	28	delve	delved	reg
ɪ.m.b.ɛ.l.ɪ.ʃ	ɛ.m.b.ɛ.l.ɪ.ʃ.t	28	embellish	embellished	reg
ɛ.m.b.ɹ.ɔɪ.l	ɛ.m.b.ɹ.ɔɪ.l.d	28	embroil	embroiled	reg
ɪ.p.ɪ.t.ʌ.m.aɪ.z	ɪ.p.ɪ.t.ʌ.m.aɪ.z.d	28	epitomize	epitomized	reg
ɛ.s.t.i.m	ɛ.s.t.i.m.d	28	esteem	esteemed	reg
f.ɛ.s.t.u.n	f.ɛ.s.t.u.n.d	28	festoon	festooned	reg
f.ɚ.oʊ	f.ɚ.oʊ.d	28	furrow	furrowed	reg
g.l.oʊ.t	g.l.oʊ.t.ɪ.d	28	gloat	gloated	reg
g.ʌ.m	g.ʌ.m.d	28	gum	gummed	reg
ɪ.n.d.ɪ.v.ɪ.dʒ.u.ʌ.l.aɪ.z	ɪ.n.d.ɪ.v.ɪ.dʒ.u.ʌ.l.aɪ.z.d	28	individualize	individualized	reg
ɪ.n.t.ɚ.s.ɛ.k.t	ɪ.n.t.ɚ.s.ɛ.k.t.ɪ.d	28	intersect	intersected	reg
dʒ.ɛ.t.ɪ.s.ʌ.n	dʒ.ɛ.t.ɪ.s.ʌ.n.d	28	jettison	jettisoned	reg
l.ɔ.g	l.ɔ.g.d	28	log	logged	reg
l.ɑ.p	l.ɑ.p.t	28	lop	lopped	reg
m.i.æ.n.d.ɚ	m.i.æ.n.d.ɚ.d	28	meander	meandered	reg
m.ɛ.l.oʊ	m.ɛ.l.oʊ.d	28	mellow	mellowed	reg
m.ɪ.s.j.u.z	m.ɪ.s.j.u.z.d	28	misuse	misused	reg
m.ʌ.l.ɛ.s.t	m.ʌ.l.ɛ.s.t.ɪ.d	28	molest	molested	reg
ʌ.k.eɪ.ʒ.ʌ.n	ɔ.k.eɪ.ʒ.ʌ.n.d	28	occasion	occasioned	reg
p.i.p.ʌ.l	p.i.p.ʌ.l.d	28	people	peopled	reg
p.ɹ.aɪ.m	p.ɹ.aɪ.m.d	28	prime	primed	reg
p.ʌ.ŋ.k.tʃ.ɚ	p.ʌ.ŋ.k.tʃ.ɚ.d	28	puncture	punctured	reg
k.w.ɑ.d.ɹ.u.p.ʌ.l	k.w.ɑ.d.ɹ.u.p.ʌ.l.d	28	quadruple	quadrupled	reg
ɹ.i.ɪ.n.s.t.eɪ.t	ɹ.i.ɪ.n.s.t.eɪ.t.ɪ.d	28	reinstate	reinstated	reg
ɹ.ɪ.t.ɑ.ɹ.d	ɹ.ɪ.t.ɑ.ɹ.d.ɪ.d	28	retard	retarded	reg
ʃ.aɪ.n	ʃ.aɪ.n.d	28	shine	shined	
s.aɪ.d	s.aɪ.d.ʌ.d	28	side	sided	reg
t.ɹ.æ.n.s.f.ɪ.k.s	t.ɹ.æ.n.s.f.ɪ.k.s.t	28	transfix	transfixed	reg
v.eɪ.l	v.eɪ.l.d	28	veil	veiled	reg
w.ɪ.ŋ	w.ɪ.ŋ.d	28	wing	winged	reg
ɹ.æ.ŋ.g.ʌ.l	ɹ.æ.ŋ.g.ʌ.l.d	28	wrangle	wrangled	reg
ʌ.k.s.ɛ.n.t	æ.k.s.ɛ.n.t.ɪ.d	27	accent	accented	reg
b.æ.k.f.aɪ.ɹ	b.æ.k.f.aɪ.ɚ.d	27	backfire	backfired	reg
b.i.d	b.i.d.ɪ.d	27	bead	beaded	reg
b.ɛ.l.t	b.ɛ.l.t.ʌ.d	27	belt	belted	reg
b.l.ɪ.s.t.ɚ	b.l.ɪ.s.t.ɚ.d	27	blister	blistered	reg
b.l.ɪ.t.s	b.l.ɪ.t.s.t	27	blitz	blitzed	reg
k.eɪ.n	k.eɪ.n.d	27	cane	caned	reg
k.oʊ.ʌ.g.z.ɪ.s.t	k.oʊ.ʌ.g.z.ɪ.s.t.ʌ.d	27	coexist	coexisted	reg
ɛ.n.dʒ.ɔɪ.n	ɛ.n.dʒ.ɔɪ.n.d	27	enjoin	enjoined	reg
f.ɔɪ.l	f.ɔɪ.l.d	27	foil	foiled	reg
ɪ.n.ʌ.v.eɪ.t	ɪ.n.ʌ.v.eɪ.t.ɪ.d	27	innovate	innovated	reg
ɪ.n.ʌ.n.d.eɪ.t	ɪ.n.ʌ.n.d.eɪ.t.ɪ.d	27	inundate	inundated	reg
l.eɪ.d.ʌ.l	l.eɪ.d.ʌ.l.d	27	ladle	ladled	reg
l.eɪ.ɚ	l.eɪ.ɚ.d	27	layer	layered	reg
l.ʌ.dʒ.ɪ.t.ʌ.m.aɪ.z	l.ɪ.dʒ.ɪ.t.ʌ.m.aɪ.z.d	27	legitimize	legitimized	reg
l.u.b.ɹ.ɪ.k.eɪ.t	l.u.b.ɹ.ʌ.k.eɪ.t.ɪ.d	27	lubricate	lubricated	reg
n.oʊ.z	n.oʊ.z.d	27	nose	nosed	reg
oʊ.v.ɚ.p.aʊ.ɚ	oʊ.v.ɚ.p.aʊ.ɚ.d	27	overpower	overpowered	reg
p.eɪ.n	p.eɪ.n.d	27	pain	pained	reg
p.æ.n.d.ɚ	p.æ.n.d.ɚ.d	27	pander	pandered	reg
p.ɔ	p.ɔ.d	27	paw	pawed	reg
p.ɔ.n	p.ɔ.n.d	27	pawn	pawned	reg
k.w.ɑ.n.t.ɪ.f.aɪ	k.w.ɑ.n.t.ɪ.f.aɪ.d	27	quantify	quantified	reg
ɹ.ɛ.v	ɹ.ɛ.v.d	27	rev	revved	reg
ɹ.ɪ.v.oʊ.k	ɹ.ɪ.v.oʊ.k.t	27	revoke	revoked	reg
ɹ.ʌ.f	ɹ.ʌ.f.t	27	rough	roughed	reg
s.k.ɔ.l.d	s.k.ɔ.l.d.ɪ.d	27	scald	scalded	reg
s.aɪ.f.ʌ.n	s.aɪ.f.ʌ.n.d	27	siphon	siphoned	reg
s.k.w.ɑ.b.ʌ.l	s.k.w.ɑ.b.ʌ.l.d	27	squabble	squabbled	reg
s.ʌ.b.s.t.æ.n.tʃ.i.eɪ.t	s.ʌ.b.s.t.æ.n.ʃ.i.eɪ.t.ɪ.d	27	substantiate	substantiated	reg
t.oʊ.t	t.oʊ.t.ɪ.d	27	tote	toted	reg
b.u	b.u.d	26	boo	booed	reg
b.ʌ.f.ʌ.t	b.ʌ.f.eɪ.d	26	buffet	buffeted	reg
s.ɛ.n.ʃ.ɚ	s.ɛ.n.ʃ.ɚ.d	26	censure	censured	reg
k.l.ʌ.b	k.l.ʌ.b.d	26	club	clubbed	reg
f.ʌ.t.i.g	f.ʌ.t.i.g.d	26	fatigue	fatigued	reg
f.l.eɪ.m	f.l.eɪ.m.d	26	flame	flamed	reg
f.l.eɪ	f.l.eɪ.d	26	flay	flayed	reg
f.ɔ.ɹ.w.ɔ.ɹ.n	f.ɔ.ɹ.w.ɔ.ɹ.n.d	26	forewarn	forewarned	reg
f.ɹ.ɪ.s.k	f.ɹ.ɪ.s.k.t	26	frisk	frisked	reg
h.ɛ.k.ʌ.l	h.ɛ.k.ʌ.l.d	26	heckle	heckled	reg
aɪ.t.ʌ.m.aɪ.z	aɪ.t.ʌ.m.aɪ.z.d	26	itemize	itemized	reg
m.ʌ.l.aɪ.n	m.ʌ.l.aɪ.n.d	26	malign	maligned	reg
m.ɚ.u.n	m.ɚ.u.n.d	26	maroon	marooned	reg
m.ɑ.ɹ.t.ɚ	m.ɑ.ɹ.t.ɚ.d	26	martyr	martyred	reg
m.ɛ.n.ʌ.s	m.ɛ.n.ʌ.s.t	26	menace	menaced	reg
m.ʌ.ʃ.ɹ.u.m	m.ʌ.ʃ.ɹ.ʊ.m.d	26	mushroom	mushroomed	reg
n.ɪ.k.n.eɪ.m	n.ɪ.k.n.eɪ.m.d	26	nickname	nicknamed	reg
oʊ.v.ɚ.ɹ.u.l	oʊ.v.ɚ.ɹ.u.l.d	26	overrule	overruled	reg
p.i.s	p.i.s.t	26	piece	pieced	reg
ɹ.ɪ.l.ɛ.n.t	ɹ.ɪ.l.ɛ.n.t.ɪ.d	26	relent	relented	reg
s.t.ɪ.g.m.ʌ.t.aɪ.z	s.t.ɪ.g.m.ʌ.t.aɪ.z.d	26	stigmatize	stigmatized	reg
s.ʌ.f.j.u.z	s.ʌ.f.j.u.z.d	26	suffuse	suffused	reg
s.w.u.n	s.w.u.n.d	26	swoon	swooned	reg
t.i	t.i.d	26	tee	teed	reg
t.ɹ.æ.n.s.k.ɹ.aɪ.b	t.ɹ.æ.n.s.k.ɹ.aɪ.b.d	26	transcribe	transcribed	reg
t.ɹ.ʌ.m.p.ʌ.t	t.ɹ.ʌ.m.p.ʌ.t.ɪ.d	26	trumpet	trumpeted	reg
ʌ.n.d.ɚ.p.eɪ	ʌ.n.d.ɚ.p.eɪ.d	26	underpay	underpaid	reg
v.ɑ.ɹ.n.ɪ.ʃ	v.ɑ.ɹ.n.ɪ.ʃ.t	26	varnish	varnished	reg
v.ɛ.n.t.ɪ.l.eɪ.t	v.ɛ.n.t.ɪ.l.eɪ.t.ɪ.d	26	ventilate	ventilated	reg
w.eɪ.v	w.eɪ.v.d	26	waive	waived	reg
æ.dʒ.ʌ.t.eɪ.t	æ.dʒ.ʌ.t.eɪ.t.ʌ.d	25	agitate	agitated	reg
ɛ.ɹ	ɛ.ɹ.d	25	air	aired	reg
b.æ.dʒ.ɚ	b.æ.dʒ.ɚ.d	25	badger	badgered	reg
b.ɑ.ɹ.t.ɚ	b.ɑ.ɹ.t.ɚ.d	25	barter	bartered	reg
b.ɪ.l.i.g.ɚ	b.ɪ.l.i.g.ɚ.d	25	beleaguer	beleaguered	reg
b.ʊ.l.d.oʊ.z	b.ʊ.l.d.oʊ.z.d	25	bulldoze	bulldozed	reg
